municipio_id,municipio,muni_area_km2,line_km_total,line_km_HV,line_km_MV,line_km_unknown,substation_count_distribution,substation_count_generation,substation_count_industrial,substation_count_minor_distribution,substation_count_switching,substation_count_transmission,substation_count_yes,plant_count,generator_count_diesel,generator_count_hydro,generator_count_oil,generator_count_solar,generator_count_wind,line_km_per_km2,HV_km_per_km2,grid_intensity_index
001,PR-001,174.29843554240836,46.55638257429635,12.725633963484238,15.311660667710834,18.519087943101276,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459.0,0.0,0.26710728888308793,0.07301060347376427,-1.6190414625223366
003,PR-003,82.82494269658854,24.371009364062072,17.29432646701656,0.0,7.076682897045512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29424722276404164,0.20880577642378367,-0.5146219140064763
005,PR-005,102.37470105988396,35.640602270634275,21.26321799278442,3.5907658243386527,10.7866184535112,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,17.0,0.0,0.34813876769990615,0.2076999275470072,-0.24372437965611193
007,PR-007,78.09647568707432,53.04068434323361,32.8726747533902,15.17811699930133,4.989892590542072,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6791687317077271,0.4209239208835506,2.9822186122831273
009,PR-009,81.34111428947952,11.244788195615179,0.0,11.244788195615179,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13824236726825312,0.0,-2.803900451491795
011,PR-011,103.00669470360346,43.81331226058218,24.80506543107218,0.0,19.00824682951,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.4253443175383189,0.24081022599984883,0.39067063252126966
013,PR-013,343.30075030168734,138.45726045898473,115.91778470859387,5.643042638789231,16.89643311160165,0.0,0.0,1.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,9.0,0.0,0.40331184926718233,0.3376566599598956,4.837706046070036
015,PR-015,37.31623138242371,17.705727614754828,10.453087960933932,7.252639653820895,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,0.0,0.4744779137341932,0.2801217479280995,0.9238904006616577
017,PR-017,49.22486968674322,12.998443601039305,11.036398624406349,0.0,1.9620449766329582,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26406252944413433,0.22420371439558262,-0.5614354850145042
019,PR-019,88.99018115375976,33.628885363192694,11.89935062626008,21.72953473693261,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37789433538839245,0.13371532085882648,-0.6150506504331479
021,PR-021,115.63959091595368,60.384586879225296,34.09800125479877,17.649796234033573,8.636789390392956,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,13.0,1.0,0.5221791810307642,0.29486442302948856,4.180377362588693
